"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DHCL4NEU","book","2008","Rubin, Jeffrey; Chisnell, Dana","Handbook of usability testing Elektronische Ressource: how to plan, design, and conduct effective tests","","9781281374547;; 9786611374549;; 978-0-470-38608-8","","","","","2008","2019-05-28 16:21:01","2019-05-28 16:21:01","","","","","","","","","","","","","Wiley","Indianapolis, Ind.","","","","","","","","Published: Elektronisch","","","","","Benutzerfreundlichkeit; Computerunterstütztes Verfahren; Produkttest","","","","","","","","","","","","","","","","","","","","2. ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"957ISEHK","book","2011","Bekavac, Bernard Hrsg.","Benutzerorientierte Bibliotheken im Web Elektronische Ressource: Usability-Methoden, Umsetzung und Trends Online-Ausg.","","978-3-11-025882-0;; 978-3-11-025883-7","","","http://ifb.bsz-bw.de/bsz346129818rez-2.pdf; http://d-nb.info/1014554632/04","","2011","2019-05-28 16:22:26","2019-05-28 16:22:26","","","","","","","","","Bibliotheks- und Informationspraxis, Teil 45","","","","de Gruyter Saur MyiLibrary","Berlin u.a. La Vergne, TN","","","","","","","","Published: Elektronisch","","","","","Benutzerfreundlichkeit; Aufsatzsammlung; Elektronische Bibliothek; Online-Ressource; Website","","","","","","","","","","","","","","","","","","","","Online-Ausg.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8FIW7WFW","book","2016","Sarodnick, Florian (1974-); Brau, Henning","Methoden der Usability Evaluation: wissenschaftliche Grundlagen und praktische Anwendung","","978-3-456-85597-4 978-3-456-95597-1","","","http://digitale-objekte.hbz-nrw.de/storage2/2016/02/06/file_50/6625601.pdf","Verlagsangaben: Jeder kennt die Situation: Man sitzt am Computer und der Rechner tut einfach nicht, was man will. Oft wird bei der Entwicklung und beim Design von Soft- und Hardware zu wenig an den Menschen als Benutzer gedacht. Im vorliegenden Buch wird umfassend in das komplexe Fachgebiet der Benutzerfreundlichkeit, das sogenannte 'Usability Engineering» eingeführt. Es werden die Evaluationsmethoden neuer Soft- und Hardware beschrieben und anhand von Beispielen aus der Praxis vorgeführt. Ein besonderer Schwerpunkt liegt dabei auf den Methoden, mit denen Prototypen oder auch fertige Systeme hinsichtlich ihrer Gebrauchstauglichkeit beurteilt werden können. Weiterhin wird gezeigt, wie die Einführung und Gestaltung von Computersystemen die Arbeit der Menschen beeinflusst und ganze Organisationen verändern kann. Alle, die sich praktisch mit dem Bereich des 'Usability Engineering» auseinandersetzen, können mit diesem Buch ihr Methodenrepertoire erweitern bzw. die geeignete Methode für die verschiedensten Projekte ermitteln. Es eignet sich aber auch für alle, die sich mit Arbeitsgestaltung und Organisationsentwicklung beschäftigen sowie für Informatiker oder Mediendesigner, die sich für Soft- und Hardwareentwicklung interessieren. (via http://deposit.dnb.de/cgi-bin/dokserv?id=3498283&prov=M&dok_var=1&dok_ext=htm)","2016","2019-05-28 16:22:41","2019-05-28 16:22:41","","","","","","","","","","","","","Hogrefe","Bern","","","","","","","","","","","","","Benutzerfreundlichkeit; Ergonomie; Leistungsbewertung; Mensch-Maschine-Kommunikation; Mensch-Maschine-System; Systementwicklung","","","","","","","","","","","","","","","","","","","","3., unveränderte Auflage","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FR9ANGDE","book","2013","Quirmbach, Sonja Monika","Suchmaschinen Elektronische Ressource: User Experience, Usability und nutzerzentrierte Website-Gestaltung","","978-3-642-20778-5","","","http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&local_base=BVB01&doc_number=024989525&sequence=000001&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA","","2013","2019-05-28 16:22:54","2019-05-28 16:22:54","","","","","","","","","X.media.press","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","","","DOI: 10.1007/978-3-642-20778-5 Published: Elektronisch","","","","","Computer science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BK8NVNLZ","book","2012","Lewis, James R.; Sauro, Jeff","Excel and R companion to quantifying the user experience: practical statistics for user research ; rapid answers to over 100 examples and exercises","","978-1-4700-2557-1","","","http://digitale-objekte.hbz-nrw.de/storage2/2018/07/07/file_179/8088346.pdf","","2012","2019-05-28 16:23:36","2019-05-28 16:23:36","","","","","","","","","","","","","Measuring Usability","Denver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEXWE95Q","webpage","","","CiteSeerX — A comparison of Scopus and Web of Science","","","","","http://citeseer.ist.psu.edu/viewdoc/summary?doi=10.1.1.709.1840&rank=3","","","2019-06-04 11:18:26","2019-06-04 11:18:26","2019-06-04 11:18:26","","","","","","","","","","","","","","","","","","","","","","","/Users/Mami/Zotero/storage/6DZLC7L2/summary.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZN259XX","journalArticle","","Adriaanse, Leslie S., Rensleigh, Chris","Comparing Web of Science, Scopus and Google Scholar from an Environmental Sciences perspective","","","","","","This paper presents a macro- and micro-level comparison of the citation resources Web of Science (WOS), Scopus and Google Scholar (GS) for the environmental sciences scholarly journals in South Africa during 2004-2008. The macro-level measuring instruments consisted of 26 evaluation criteria with the following broad categories: content, access, services, interface, searching, search results, cost, citation and analytical tools, and linking abilities. The micro-level measuring instrument’s evaluation criteria represented the data fields of the journal records to establish comprehensivity. The macro-level evaluation results indicated that Scopus surpassed both WOS and GS whereas the micro-level evaluation results indicated that WOS surpassed both Scopus and GS. Based on the macro- and micro-level evaluation results the study was able to establish that GS is not yet a substitute but rather a supplementary citation resource for the fee-based WOS and/or Scopus for the South African international accredited scholarly environmental sciences journals during the period 2004-2008.","","2019-06-04 11:20:39","2019-06-04 11:25:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHNTPR2N","journalArticle","2018","Bar‐Ilan, Judit; Haustein, Stefanie; Milojević, Staša; Peters, Isabella; Wolfram, Dietmar","Peer review, bibliometrics and altmetrics - Do we need them all?","Proceedings of the Association for Information Science and Technology","","2373-9231","10.1002/pra2.2018.14505501073","https://onlinelibrary.wiley.com/doi/abs/10.1002/pra2.2018.14505501073","This panel will present views and critical reflections on peer review, bibliometrics and altmetrics against the background of the latest developments and critique of the scientific system (e.g., replication crisis, DORA, open science, data manipulation). Peer review is the oldest form of monitoring the scientific process and research outcomes and is sometimes considered as the gold standard for evaluating quality. However, it also has its drawbacks; therefore, new forms of peer review are being explored. Bibliometrics, comparative statistics based on publication and citation counts, was introduced as a more objective evaluation method, which is applicable on meso and macro levels of research producing units but is not without problems either. Citation counts as a proxy of quality; the impact factor and the h-index are some of the most controversial subjects of research evaluation today. The newest addition to the evaluation toolbox are altmetrics, impact measures based mainly on social media activity. Altmetrics have pros and cons as well. None of the measuring devices is perfect, and rather than replacing they complement each other. By drawing on indicators from all three aspects of research evaluation, negative and adverse effects are limited.","2018","2019-06-15 06:56:05","2019-06-15 06:56:05","2019-06-15 06:56:05","653-656","","1","55","","","","","","","","","","en","Copyright © 2018 by Association for Information Science and Technology","","","","Wiley Online Library","","","","/Users/Mami/Zotero/storage/ABAJ52PU/pra2.2018.html","","","altmetrics; bibliometrics; Peer review; research evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5C38JCGD","book","2018","Holtbrügge, Dirk","Personalmanagement Elektronische Ressource","","978-3-662-55642-9","","","","","2018","2019-06-17 08:06:37","2019-06-17 08:06:37","","","","","","","","","","","","","Springer Berlin Heidelberg, Imprint: Springer Gabler","Berlin, Heidelberg","","","","","","","","DOI: 10.1007/978-3-662-55642-9 Published: Elektronisch","","","","","Business; Humanvermögen; Integriertes Management; Lehrbuch; Personalentwicklung; Personalpolitik; Personnel management","","","","","","","","","","","","","","","","","","","","7. Aufl. 2018","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQ7TA8BS","book","2012","Lindner-Lohmann, Doris; Lohmann, Florian; Schirmer, Uwe","Personalmanagement Elektronische Ressource","","978-3-7908-2890-0","","","","","2012","2019-06-17 08:09:08","2019-06-17 08:09:08","","","","","","","","","BA KOMPAKT","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","","","DOI: 10.1007/978-3-7908-2890-0 Published: Elektronisch","","","","","Lehrbuch; Personalpolitik; Business planning; Economics; Social legislation","","","","","","","","","","","","","","","","","","","","2., akualisierte Aufl. 2012","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJHI4VJ3","book","2010","Wagner, Dieter; Herlt, Susanne","Perspektiven des Personalmanagements 2015 Elektronische Ressource","","978-3-8349-8905-5","","","","","2010","2019-06-17 08:10:19","2019-06-17 08:10:19","","","","","","","","","","","","","Gabler Verlag / Springer Fachmedien Wiesbaden GmbH, Wiesbaden","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-8349-8905-5 Published: Elektronisch","","","","","Aufsatzsammlung; Personalpolitik; Personnel management; Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIW9Q2X8","book","2012","Eisenhardt, Philip","Der Einfluss des Personalmanagements auf den Unternehmenserfolg Elektronische Ressource: Eine theoriegeleitete empirische Analyse","","978-3-8349-4121-3","","","","","2012","2019-06-17 08:11:37","2019-06-17 08:11:37","","","","","","","","","","","","","Gabler Verlag","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-8349-4121-3 Published: Elektronisch","","","","","Personalpolitik; Economics; Unternehmenserfolg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4DZXJSI","book","2013","Stock-Homburg, Ruth","Handbuch Strategisches Personalmanagement Elektronische Ressource","","978-3-658-00431-6","","","http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&local_base=BVB01&doc_number=026052575&sequence=000001&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA","","2013","2019-06-17 08:12:28","2019-06-17 08:12:28","","","","","","","","","","","","","Springer Fachmedien Wiesbaden","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-658-00431-6 Published: Elektronisch","","","","","Personalpolitik; Economics; Strategisches Management","","","","","","","","","","","","","","","","","","","","2., überarb. u. erw. Aufl. 2013","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZAVH3WL","book","2019","","250 Keywords Personalmanagement Elektronische Ressource: Grundwissen für Manager","","978-3-658-23656-4","","","https://doi.org/10.1007/978-3-658-23656-4","","2019","2019-06-17 08:14:46","2019-06-17 08:14:46","","","","","","","","","","","","","Springer Fachmedien Wiesbaden, Imprint: Springer Gabler","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-658-23656-4 Published: Elektronisch","","","","","Personnel management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4EYVQCV","book","2019","Englert, Benedikt","Personalmanagement in Nonprofit-Organisationen Elektronische Ressource: Zur Rolle des Person-Environment Fit","","978-3-658-24976-2","","","https://doi.org/10.1007/978-3-658-24976-2","","2019","2019-06-17 08:16:02","2019-06-17 08:16:02","","","","","","","","","Marktorientiertes Nonprofit-Management","","","","Springer Fachmedien Wiesbaden, Imprint: Springer Gabler","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-658-24976-2 Published: Elektronisch","","","","","Personnel management; Nonprofit organizations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y23KC54E","book","2018","Covarrubias Venegas, Barbara; Thill, Katharina; Domnanovich, Julia","Personalmanagement Elektronische Ressource: Internationale Perspektiven und Implikationen für die Praxis","","978-3-658-15170-6","","","","","2018","2019-06-17 08:17:10","2019-06-17 08:17:10","","","","","","","","","Forschung und Praxis an der FHWien der WKW","","","","Springer Fachmedien Wiesbaden, Imprint: Springer Gabler","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-658-15170-6 Published: Elektronisch","","","","","Business; Personalpolitik; Personnel management; Globalization; Internationales Management; Markets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3DTNLI4","book","2018","Troger, Hermann","Die Führungskraft als Personalmanager Elektronische Ressource: Eine neue Rollenverteilung zwischen Führungskräften und HR-Management","","978-3-658-19459-8","","","","","2018","2019-06-17 08:18:51","2019-06-17 08:18:51","","","","","","","","","","","","","Springer Fachmedien Wiesbaden, Imprint: Springer Gabler","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-658-19459-8 Published: Elektronisch","","","","","Business; Personalpolitik; Personnel management; Leadership","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVNZ5CT2","book","2018","Pekruhl, Ulrich; Vogel, Christoph; Strohm, Oliver","Integriertes Personalmanagement in kleinen Unternehmen Elektronische Ressource: Ein Praxisratgeber","","978-3-662-56477-6","","","","","2018","2019-06-17 08:20:06","2019-06-17 08:20:06","","","","","","","","","","","","","Springer Berlin Heidelberg, Imprint: Springer Gabler","Berlin, Heidelberg","","","","","","","","DOI: 10.1007/978-3-662-56477-6 Published: Elektronisch","","","","","Business; Integriertes Management; Personalpolitik; Personnel management; Klein- und Mittelbetrieb; Small business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBZ84WQV","book","2018","Moser, Michaela","Bedeutung von Soft Skills in einer sich wandelnden Unternehmenswelt Elektronische Ressource: Eine Studie zu dem besonderen Stellenwert von Kompetenzen im Personalmanagement","","978-3-658-22273-4","","","","","2018","2019-06-17 08:21:02","2019-06-17 08:21:02","","","","","","","","","","","","","Springer Fachmedien Wiesbaden, Imprint: Springer Gabler","Wiesbaden","","","","","","","","DOI: 10.1007/978-3-658-22273-4 Published: Elektronisch","","","","","Business; Personnel management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEZJ4IWL","journalArticle","2003","Milliken, Frances J.; Morrison, Elizabeth W.; Hewlin, Patricia F.","An Exploratory Study of Employee Silence: Issues that Employees Don’t Communicate Upward and Why*","Journal of Management Studies","","1467-6486","10.1111/1467-6486.00387","https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6486.00387","There is evidence from a variety of sources that employees often do not feel comfortable speaking to their bosses about organizational problems or issues that concern them. The purpose of this study was to shed light on the types of issues that employees are reluctant to raise, and identify why employees sometimes decide to remain silent rather than voice their concerns. We interviewed 40 employees and found that most had been in situations where they were concerned about an issue but did not raise it to a supervisor. Silence spanned a range of organizational issues, with several of our respondents indicating that they did not feel comfortable speaking to those above them about any issues or concerns. The most frequently mentioned reason for remaining silent was the fear of being viewed or labeled negatively, and as a consequence, damaging valued relationships. From our data, we develop a model of how the perceived consequences of voice contribute to silence, and a model of how the social and relational implications of speaking up can take away employees’ ability to have influence within an organizational setting.","2003","2019-06-22 15:46:12","2019-06-22 15:46:12","2019-06-22 15:46:10","1453-1476","","6","40","","","An Exploratory Study of Employee Silence","","","","","","","en","","","","","Wiley Online Library","","","","/Users/Mami/Zotero/storage/VX9MT5W2/Milliken et al. - 2003 - An Exploratory Study of Employee Silence Issues t.pdf; /Users/Mami/Zotero/storage/WQ846FI5/1467-6486.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YV8FW83Z","bookSection","2014","Lauer, Thomas","Hemmnisse des Wandels","Change Management: Grundlagen und Erfolgsfaktoren","978-3-662-43737-7","","","https://doi.org/10.1007/978-3-662-43737-7_3","In diesem Kapitel wird aufgezeigt, dass in der Praxis vielfach notwendiger Wandel in Unternehmen unterbleibt, obwohl dessen Notwendigkeit offensichtlich ist. Begründet werden kann diese Erscheinung mit Erkenntnissen aus vier unterschiedlichen Gebieten. Die Psychologie lehrt, dass Menschen ihrer bisherigen Haltung widersprechende Informationen vermeiden oder abwerten (Vermeidung kognitiver Dissonanz) und man erst dann nach Alternativen sucht, wenn echte Unzufriedenheit eingetreten ist (Satisficing). Die Organisationstheorie hat nachgewiesen, dass bürokratische Großunternehmen ebenso Wandel behindern wie zu starke Unternehmenskulturen. Oft stehen auch mehr oder weniger rationale Kostenargumente notwendigen Veränderungen gegenüber und schließlich kann die Situation so komplex sein, dass man ein Eingreifen scheut. Da Stillstand aber oft das sichere Ende ist, gilt es diese Hemmnisse zu überwinden und den Wandel zu wagen.","2014","2019-06-23 09:54:45","2019-06-23 09:54:45","2019-06-23 09:54:44","29-45","","","","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","de","","","","","Springer Link","","DOI: 10.1007/978-3-662-43737-7_3","","/Users/Mami/Zotero/storage/MGG8U5GL/Lauer - 2014 - Hemmnisse des Wandels.pdf","","","","Lauer, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
